timestamp,ticket,symbol,type,volume,entry_price,exit_price,pips,pnl,exit_reason,confidence,lstm_signal,tcn_signal,lgbm_signal,volatility_regime,session,duration_seconds
2025-12-15 10:19:01,868904039,XAUUSDm,BUY,0.01,4325.65,4325.09,-56.6,-0.16,SL_HIT,0.517,2,2,0,low,asian,-19799.6
2025-12-15 10:19:02,868904279,XAUUSDm,BUY,0.01,4325.28,4325.00,-27.5,-0.25,SL_HIT,0.517,2,2,0,low,asian,-19799.6
2025-12-15 10:19:02,868904368,XAUUSDm,BUY,0.01,4325.25,4325.00,-24.4,-0.16,SL_HIT,0.517,2,2,0,low,asian,-19799.7
2025-12-15 10:19:04,868904510,XAUUSDm,BUY,0.07,4325.25,4325.00,-25.5,-1.12,SL_HIT,0.517,2,2,0,low,asian,-19799.6
2025-12-15 10:19:05,868904529,XAUUSDm,BUY,0.07,4325.16,4325.02,-14.5,-0.97,SL_HIT,0.517,2,2,0,low,asian,-19799.6
2025-12-15 10:19:06,868904680,XAUUSDm,BUY,0.06,4325.16,4325.03,-12.2,-0.86,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:08,868904813,XAUUSDm,BUY,0.06,4325.18,4325.39,21.2,0.59,TP_HIT,0.514,2,2,0,low,asian,-19798.6
2025-12-15 10:19:09,868905114,XAUUSDm,BUY,0.06,4325.19,4325.50,30.4,0.85,TP_HIT,0.514,2,2,0,low,asian,-19798.3
2025-12-15 10:19:10,868905172,XAUUSDm,BUY,0.06,4325.29,4325.50,20.8,0.64,TP_HIT,0.514,2,2,0,low,asian,-19797.8
2025-12-15 10:19:11,868905362,XAUUSDm,BUY,0.06,4325.39,4325.51,12.3,-0.72,TP_HIT,0.514,2,2,0,low,asian,-19797.4
2025-12-15 10:19:12,868905545,XAUUSDm,BUY,0.04,4325.66,4325.39,-26.9,-1.14,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:12,868905423,XAUUSDm,BUY,0.05,4325.55,4325.39,-16.0,-1.34,SL_HIT,0.514,2,2,0,low,asian,-19798.0
2025-12-15 10:19:13,868905558,XAUUSDm,BUY,0.04,4325.66,4325.27,-38.7,-1.62,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:14,868905728,XAUUSDm,BUY,0.02,4325.67,4325.82,14.3,0.54,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:15,868906005,XAUUSDm,BUY,0.02,4325.60,4325.74,14.0,-0.32,TP_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:16,868906107,XAUUSDm,BUY,0.02,4325.43,4325.84,40.4,-0.32,TP_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:18,868906680,XAUUSDm,BUY,0.01,4325.99,4325.84,-15.3,-0.16,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:18,868906697,XAUUSDm,BUY,0.01,4326.01,4325.80,-21.1,-0.20,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:19,868906776,XAUUSDm,BUY,0.01,4326.00,4325.87,-13.0,-0.19,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:21,868906864,XAUUSDm,BUY,0.01,4326.00,4325.83,-17.4,-0.08,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:21,868906881,XAUUSDm,BUY,0.01,4326.03,4325.83,-20.4,-0.16,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:23,868906964,XAUUSDm,BUY,0.01,4325.99,4325.85,-14.3,-0.19,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:25,868907086,XAUUSDm,BUY,0.01,4326.04,4325.90,-13.7,-0.16,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:25,868906993,XAUUSDm,BUY,0.01,4325.99,4325.93,-6.2,-0.08,SL_HIT,0.514,2,2,0,low,asian,-19798.5
2025-12-15 10:19:26,868907080,XAUUSDm,BUY,0.01,4326.08,4325.93,-15.7,-0.13,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:28,868907171,XAUUSDm,BUY,0.01,4326.06,4325.92,-14.1,-0.16,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:28,868907180,XAUUSDm,BUY,0.01,4326.06,4325.90,-16.5,-0.18,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:55,868909465,XAUUSDm,BUY,0.07,4326.33,4326.18,-14.9,-1.05,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:56,868909493,XAUUSDm,BUY,0.07,4326.33,4326.18,-14.9,-1.12,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:57,868909544,XAUUSDm,BUY,0.06,4326.33,4326.20,-13.4,-0.96,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:57,868909553,XAUUSDm,BUY,0.06,4326.34,4326.20,-14.5,-0.96,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:19:59,868909586,XAUUSDm,BUY,0.05,4326.36,4326.23,-13.0,-0.80,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:19:59,868909593,XAUUSDm,BUY,0.05,4326.36,4326.25,-10.6,-0.68,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:20:02,868909657,XAUUSDm,BUY,0.04,4326.39,4326.22,-17.2,-0.92,SL_HIT,0.514,2,2,0,low,asian,-19798.6
2025-12-15 10:20:02,868909810,XAUUSDm,BUY,0.04,4326.41,4326.22,-18.7,-1.19,SL_HIT,0.514,2,2,0,low,asian,-19798.2
2025-12-15 10:20:03,868909998,XAUUSDm,BUY,0.04,4326.52,4326.37,-15.3,-0.02,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:20:03,868909873,XAUUSDm,BUY,0.04,4326.52,4326.37,-15.3,-0.92,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:20:05,868910410,XAUUSDm,BUY,0.03,4326.38,4326.20,-18.7,-0.90,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:20:05,868910449,XAUUSDm,BUY,0.03,4326.38,4326.24,-13.6,-0.35,SL_HIT,0.514,2,2,0,low,asian,-19799.7
2025-12-15 10:20:06,868910489,XAUUSDm,BUY,0.02,4326.36,4326.27,-8.9,-0.32,SL_HIT,0.514,2,2,0,low,asian,-19799.6
2025-12-15 10:20:08,868910528,XAUUSDm,BUY,0.02,4326.40,4326.27,-13.1,-0.32,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:08,868910540,XAUUSDm,BUY,0.02,4326.43,4326.26,-16.8,-0.34,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:10,868910682,XAUUSDm,BUY,0.02,4326.43,4326.34,-8.6,-0.12,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:10,868910703,XAUUSDm,BUY,0.02,4326.42,4326.31,-11.4,-0.39,SL_HIT,0.513,2,2,0,low,asian,-19799.6
2025-12-15 10:20:11,868910758,XAUUSDm,BUY,0.02,4326.50,4326.21,-29.0,-0.54,SL_HIT,0.513,2,2,0,low,asian,-19799.6
2025-12-15 10:20:12,868910798,XAUUSDm,BUY,0.02,4326.47,4326.18,-28.7,-0.38,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:13,868910866,XAUUSDm,BUY,0.01,4326.34,4326.23,-10.7,-0.11,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:13,868910895,XAUUSDm,BUY,0.01,4326.37,4326.21,-16.2,-0.18,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:14,868910928,XAUUSDm,BUY,0.01,4326.39,4326.19,-20.7,-0.18,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:16,868911141,XAUUSDm,BUY,0.01,4326.35,4326.48,13.4,-0.14,TP_HIT,0.513,2,2,0,low,asian,-19799.6
2025-12-15 10:20:17,868911241,XAUUSDm,BUY,0.01,4326.62,4326.48,-14.2,-0.16,SL_HIT,0.513,2,2,0,low,asian,-19799.7
2025-12-15 10:20:18,868911333,XAUUSDm,BUY,0.01,4326.64,4326.57,-7.2,-0.08,SL_HIT,0.513,2,2,0,low,asian,-19799.6
2025-12-15 10:20:18,868911125,XAUUSDm,BUY,0.01,4326.37,4326.57,19.7,-0.05,TP_HIT,0.513,2,2,0,low,asian,-19796.5
2025-12-15 10:20:20,868911370,XAUUSDm,BUY,0.01,4326.64,4326.27,-36.8,-0.46,SL_HIT,0.513,2,2,0,low,asian,-19797.9
